itemno;title;description;gallay-title;gallay-description
02257;;dekoratives 3-reihiges Collier mit Knochenperle rot-schwarz aus Kunststoff, auf Stahldraht kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, Knochenperle rot-schwarz;3-fach Draht
02259;;dekoratives 3-reihiges Collier mit Knochenperle türkis aus Kunststoff, auf Stahldraht kunststoffummantelt, Verschluss silberfarbig mit Verlängerungskettchen und Perle als Abschluss, in Deutschland gefertigte Handarbeit;Kette, 3-fach, Knochenperle türkis;Draht weich
02260;;langes Collier mit 10mm Kunststoff-Perle flieder seidig-glänzend, Verschluss silber-farbig, in Deutschland gefertigte Handarbeit;Kette, Perlen 10mm flieder-seidig;Collier mit 10mm Kunststoff-Perle flieder seidig-glänzend, Verschluss silber-farbig
02261;;tolles Y-Collier mit hochwertigen Kunststoff-Nuggets pflaume matt-seidig, an Eloxalkette Anker grau-matt, ohne Verschluss, in Deutschland gefertigter Modeschmuck;Kette, Nugget, pflaume, Ankerkette;Kunststoffperlen mit Kette Eloxal
02262;;dekoratives Collier mit Kunststoff-Nugget in 33x25mm in lila seidig-glänzend, kombiniert mit farblich abgestimmten Kunststoffteilen lila und kristall-transparent, 2-fach Kordel 0,6mm lila, längenverstellbar mittels Schiebeknoten;Kette, Perlen lila-seide transparent;dekoratives Collier mit Kunststoff-Nugget in 33x25mm in lila seidig-glänzend, kombiniert mit farblich abgestimmten Kunststoffteilen in lila und kristall-transparent, 2-fach Kordel 0,6mm lila, längenverstellbar mittels Schiebeknoten
02264;;tolles Mode-Collier passend für viele Gelegenheiten, drei hochwertige facettierte Kunststoffperlen lila-transparent bilden den Mittelpunkt kombiniert mit Kunststoffperlen lila-seidig und Würfel altsilber galvanisch, an Eloxalkette Anker grau-matt, in Deutschland gefertigte Handarbeit;Kette, Facettenperle lila, Ankerkette;Kunststoffperlen, teilweise facettiert
02267;;dieses tolle Y-Collier passt perfekt zur aktuellen Mode, besonderer Eyecatcher ist die große Spiralperle flieder-seidig, kombiniert mit farblich abgestimmten Kunststoffperlen lila, flieder, grau und altsilber, an Eloxalkette Anker grau-matt, ohne Verschluss, in Deutschland gefertigte Handarbeit;Kette, Spirale flieder, Ankerkette;Kunststoff-Perlen
02268;;sehr schönes Y-Collier mit Kunststoff-Viereck schwarz mit kupfer bespritzt, verbunden mit Ankerkette kupfer-matt aus Aluiminium, in Deutschland gefertigte Handarbeit;Kette, schwarz-kupferton, Ankerkette;Kette kupferfarbig, Vierecke Kunststoffperlen
02269;;hochwertiges Mode-Collier mit großen Kunststoffteilen in braun-marmoriert, Scheibe 27mm, Ring 31mm und Viereck 25mm, kombiniert mit Aluminium-Ankerkette in kupferton, in Deutschland gefertigte Handarbeit;Kette, Ringe und Vierecke, braunton;Collier mit großen Kunststoffteilen in braun-marmoriert, Scheibe 27mm, Ring 31mm und Viereck 25mm, kombiniert mit Aluminium-Ankerkette in kupferton
02270;;hochmodisches Y-Collier, 100cm lange Kette aus Stahldraht mit hochwertiger Kunststoffwalze rostbraun mit Flitter kombiniert mit kleinen Knochenperlen braun-transparent aus Kunststoff, in Deutschland gefertigte Handarbeit;Kette, Walze rostbraun-flitter, Draht;Kunststoffperlen, weicher Stahldraht
02271;;sommerliches Collier mit hochwertigen Kunststoffperlen, Crash-Walze topas-transparent kombiniert mit 6mm Kunststoffperle schildpatt, auf 2-fach Stahldraht, silber-farbig kunststoffummantelt, Verschluss silber-farbig mit Verlängerungskettchen und Perle als Abschluss;Kette, Walze crash-schildpatt, Draht;Kunststoffperlen, weicher Stahldraht, Verschluss mit Verlängerung
02272;;sehr schönes Collier mit Kunststoff-Nugget braun-marmoriert mit leichtem silber glänzend, verbunden mit Ankerkette kupfer-matt aus Aluiminium, in Deutschland gefertigte Handarbeit;Kette, Nugget braunton, Ankerkette;Kette kupferfarbig, Kunststoffperlen braunton marmoriert
